feature,importance
PageValues,0.4826990666203743
ExitRates,0.08400635276616608
ProductRelated_Duration,0.07438144607767246
ProductRelated,0.05104922172747465
BounceRates,0.047470278297309626
Month_Nov,0.037348921113922864
Administrative,0.036333046585990694
Administrative_Duration,0.03296522793255762
Informational_Duration,0.012709239256013064
Month_May,0.011846334545529687
VisitorType_Returning_Visitor,0.011610645854159649
Informational,0.009719412736133373
TrafficType_2,0.009321612447344916
Month_Mar,0.007814319883436832
SpecialDay,0.0076908941770946326
TrafficType_3,0.005933557669793228
OperatingSystems_3,0.005185786218998254
Month_Oct,0.004271292996716161
OperatingSystems_2,0.003962290352891275
Weekend,0.003810640283049671
Month_Sep,0.0035619373722722753
TrafficType_13,0.003478300699516834
Month_Dec,0.0033768916547389236
Browser_2,0.0033348174684848402
Region_3,0.003321104733297077
TrafficType_20,0.00292935129233188
Month_Jul,0.002649418468974265
TrafficType_8,0.002523754418988447
Browser_4,0.002457770688051039
Region_4,0.0024565212097670533
TrafficType_4,0.0022003999560017556
Region_2,0.0021872087548793096
TrafficType_5,0.0019022106606418083
TrafficType_10,0.0018956343011142112
Region_6,0.0018702853468057605
Region_7,0.0017712895515823942
Region_8,0.0017561780024451194
Region_9,0.0015954407244055887
TrafficType_6,0.0014109780417996245
Browser_5,0.0013507097372882347
TrafficType_11,0.001348321533108226
Region_5,0.001286364632726809
OperatingSystems_4,0.0012777763734597733
Month_June,0.0012309683070993325
Month_Feb,0.0009732995033886864
Browser_6,0.0008281407397130736
Browser_10,0.0007821881509136559
Browser_8,0.0006803131642868413
Browser_12,0.0005452194697983901
Browser_3,0.0005095977577783804
VisitorType_Other,0.00035405360697688033
TrafficType_7,0.00034708477494898535
Browser_7,0.00032948592778130336
OperatingSystems_8,0.0003040072375779447
Browser_13,0.0002894600311245784
TrafficType_15,0.00020159383581302845
OperatingSystems_7,0.00019683070964234114
TrafficType_9,0.0001330726491074453
OperatingSystems_6,7.892926945853268e-05
TrafficType_14,5.437977007008765e-05
TrafficType_18,2.3228274719597103e-05
Browser_11,1.9717617177542702e-05
TrafficType_19,1.9427699510896648e-05
OperatingSystems_5,1.8029484210991733e-05
TrafficType_16,8.718853591132492e-06
Browser_9,0.0
TrafficType_12,0.0
TrafficType_17,0.0
